time,Solar8000/PLETH_SPO2,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/CVP
386,,,NaN,,NaN,,,NaN,,,,NaN,
387,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
388,,,NaN,,NaN,,,NaN,,,,NaN,
389,100,,NaN,65,NaN,-4,-4,NaN,,64,-4,NaN,-22
390,,,NaN,,NaN,,,NaN,,,,NaN,
391,100,,NaN,64,NaN,-4,-4,NaN,,64,-4,NaN,-22
392,,,NaN,,NaN,,,NaN,,,,NaN,
393,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
394,,,NaN,,NaN,,,NaN,,,,NaN,
395,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-22
396,,,NaN,,NaN,,,NaN,,,,NaN,
397,100,,NaN,64,NaN,-3,-3,NaN,,64,-3,NaN,-21
398,,,NaN,,NaN,,,NaN,,,,NaN,
399,100,,NaN,65,NaN,-3,-3,NaN,,64,-3,NaN,-21
400,,,NaN,,NaN,,,NaN,,,,NaN,
401,100,,NaN,65,NaN,-3,-5,NaN,,64,-3,NaN,-22
402,,,NaN,,NaN,,,NaN,,,,NaN,
403,100,,NaN,65,NaN,-3,-5,NaN,,64,-3,NaN,-22
404,,,NaN,,NaN,,,NaN,,,,NaN,
