time,SNUADC/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR
7819,NaN,NaN,100,14,79,73,34,NaN,61,110,NaN,13,79
7820,NaN,NaN,,,,,,NaN,,,NaN,,
7821,NaN,NaN,100,14,79,72,34,NaN,59,106,NaN,13,79
7822,NaN,NaN,,,,,,NaN,,,NaN,,
7823,NaN,NaN,100,14,79,73,33,NaN,60,109,NaN,13,79
7824,NaN,NaN,,,,,,NaN,,,NaN,,
7825,NaN,NaN,100,14,79,72,33,NaN,59,107,NaN,13,79
7826,NaN,NaN,,,,,,NaN,,,NaN,,
7827,NaN,NaN,100,14,79,72,33,NaN,60,107,NaN,13,79
7828,NaN,NaN,,,,,,NaN,,,NaN,,
7829,NaN,NaN,100,14,79,72,33,NaN,60,109,NaN,13,79
7830,NaN,NaN,,,,,,NaN,,,NaN,,
7831,NaN,NaN,100,14,79,72,33,NaN,59,106,NaN,13,79
7832,NaN,NaN,,,,,,NaN,,,NaN,,
7833,NaN,NaN,100,14,79,72,33,NaN,60,109,NaN,13,79
7834,NaN,NaN,,,,,,NaN,,,NaN,,
7835,NaN,NaN,100,14,79,71,33,NaN,59,105,NaN,13,79
7836,NaN,NaN,,,,,,NaN,,,NaN,,
7837,NaN,NaN,100,14,79,72,33,NaN,59,107,NaN,13,79
7838,NaN,NaN,,,,,,NaN,,,NaN,,
7839,NaN,NaN,100,13,79,71,33,NaN,58,104,NaN,13,79
7840,NaN,NaN,,,,,,NaN,,,NaN,,
7841,NaN,NaN,100,13,79,71,33,NaN,59,104,NaN,13,79
7842,NaN,NaN,,,,,,NaN,,,NaN,,
7843,NaN,NaN,100,13,79,71,33,NaN,59,106,NaN,13,79
7844,NaN,NaN,,,,,,NaN,,,NaN,,
7845,NaN,NaN,100,13,79,71,33,NaN,59,105,NaN,13,79
7846,NaN,NaN,,,,,,NaN,,,NaN,,
7847,NaN,NaN,100,14,79,72,33,NaN,60,108,NaN,13,78
7848,NaN,NaN,,,,,,NaN,,,NaN,,
7849,NaN,NaN,100,14,79,71,33,NaN,59,105,NaN,13,79
7850,NaN,NaN,,,,,,NaN,,,NaN,,
7851,NaN,NaN,100,14,79,72,34,NaN,61,109,NaN,13,78
7852,NaN,NaN,,,,,,NaN,,,NaN,,
7853,NaN,NaN,100,14,79,72,34,NaN,59,106,NaN,13,79
7854,NaN,NaN,,,,,,NaN,,,NaN,,
7855,NaN,NaN,100,14,79,73,34,NaN,61,108,NaN,13,79
7856,NaN,NaN,,,,,,NaN,,,NaN,,
7857,NaN,NaN,100,14,80,72,34,NaN,59,106,NaN,13,79
7858,NaN,NaN,,,,,,NaN,,,NaN,,
7859,NaN,NaN,100,14,80,72,34,NaN,60,106,NaN,13,79
7860,NaN,NaN,,,,,,NaN,,,NaN,,
7861,NaN,NaN,100,14,80,72,34,NaN,60,107,NaN,13,79
7862,NaN,NaN,,,,,,NaN,,,NaN,,
7863,NaN,NaN,100,14,80,71,34,NaN,59,104,NaN,13,79
7864,NaN,NaN,,,,,,NaN,,,NaN,,
7865,NaN,NaN,100,14,79,72,34,NaN,60,108,NaN,13,79
7866,NaN,NaN,,,,,,NaN,,,NaN,,
