time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2
305,,,NaN,NaN,,NaN,,,,,,NaN,
306,-3,,NaN,NaN,-3,NaN,0,-3,,54,53,NaN,100
307,,,NaN,NaN,,NaN,,,,,,NaN,
308,-3,,NaN,NaN,-3,NaN,0,-3,,54,53,NaN,100
309,,,NaN,NaN,,NaN,,,,,,NaN,
310,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,100
311,,,NaN,NaN,,NaN,,,,,,NaN,
312,-4,,NaN,NaN,-4,NaN,0,-4,,53,52,NaN,100
313,,,NaN,NaN,,NaN,,,,,,NaN,
314,-4,,NaN,NaN,-4,NaN,0,-4,,52,52,NaN,100
315,,,NaN,NaN,,NaN,,,,,,NaN,
316,-4,,NaN,NaN,-4,NaN,0,-4,,52,51,NaN,100
317,,,NaN,NaN,,NaN,,,,,,NaN,
318,-4,,NaN,NaN,-4,NaN,0,-4,,52,51,NaN,100
319,,,NaN,NaN,,NaN,,,,,,NaN,
320,-4,,NaN,NaN,-4,NaN,0,-4,,52,51,NaN,100
321,,,NaN,NaN,,NaN,,,,,,NaN,
322,-4,,NaN,NaN,-4,NaN,0,-4,,51,51,NaN,100
323,,,NaN,NaN,,NaN,,,,,,NaN,
324,-4,,NaN,NaN,-4,NaN,0,-4,,51,51,NaN,99
325,,,NaN,NaN,,NaN,,,,,,NaN,
326,-3,,NaN,NaN,-3,NaN,0,-3,,51,51,NaN,99
327,,,NaN,NaN,,NaN,,,,,,NaN,
328,-3,,NaN,NaN,-3,NaN,0,-3,,52,51,NaN,99
329,,,NaN,NaN,,NaN,,,,,,NaN,
330,-2,,NaN,NaN,-2,NaN,0,-2,,52,51,NaN,99
