time,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/ART,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_DBP,SNUADC/ECG_II
207,,,NaN,NaN,,,NaN,,,,,,NaN
208,,,NaN,NaN,71,-11,NaN,-11,99,-14,70,-11,NaN
209,,,NaN,NaN,,,NaN,,,,,,NaN
210,,,NaN,NaN,71,-11,NaN,-11,99,-14,70,-11,NaN
211,,,NaN,NaN,,,NaN,,,,,,NaN
212,,,NaN,NaN,71,-11,NaN,-11,99,-15,70,-11,NaN
213,,,NaN,NaN,,,NaN,,,,,,NaN
214,,,NaN,NaN,71,-11,NaN,-11,99,-15,71,-11,NaN
215,,,NaN,NaN,,,NaN,,,,,,NaN
216,,,NaN,NaN,72,-11,NaN,-11,99,-12,71,-11,NaN
217,,,NaN,NaN,,,NaN,,,,,,NaN
218,,,NaN,NaN,72,-11,NaN,-11,99,-12,71,-11,NaN
219,,,NaN,NaN,,,NaN,,,,,,NaN
220,,,NaN,NaN,72,-11,NaN,-11,99,-11,71,-11,NaN
221,,,NaN,NaN,,,NaN,,,,,,NaN
222,,,NaN,NaN,72,-11,NaN,-11,99,-11,72,-11,NaN
223,,,NaN,NaN,,,NaN,,,,,,NaN
224,,,NaN,NaN,73,-11,NaN,-11,99,-12,72,-11,NaN
225,,,NaN,NaN,,,NaN,,,,,,NaN
226,,,NaN,NaN,72,-11,NaN,-11,99,-12,72,-11,NaN
227,,,NaN,NaN,,,NaN,,,,,,NaN
228,,,NaN,NaN,73,-11,NaN,-11,99,-14,72,-11,NaN
229,,,NaN,NaN,,,NaN,,,,,,NaN
230,,,NaN,NaN,71,-11,NaN,-11,99,-14,71,-11,NaN
231,,,NaN,NaN,,,NaN,,,,,,NaN
232,,,NaN,NaN,70,-11,NaN,-11,99,-14,70,-11,NaN
233,,,NaN,NaN,,,NaN,,,,,,NaN
234,,,NaN,NaN,69,-11,NaN,-11,100,-14,68,-11,NaN
235,,,NaN,NaN,,,NaN,,,,,,NaN
236,,,NaN,NaN,68,-11,NaN,-11,100,-13,67,-11,NaN
237,,,NaN,NaN,,,NaN,,,,,,NaN
238,,,NaN,NaN,68,-11,NaN,-11,99,-13,67,-11,NaN
239,,,NaN,NaN,,,NaN,,,,,,NaN
240,,,NaN,NaN,68,-11,NaN,-11,99,-13,67,-11,NaN
241,,,NaN,NaN,,,NaN,,,,,,NaN
242,,,NaN,NaN,68,-11,NaN,-11,99,-13,67,-11,NaN
243,,,NaN,NaN,,,NaN,,,,,,NaN
244,,,NaN,NaN,68,-11,NaN,-11,99,-13,68,-11,NaN
245,,,NaN,NaN,,,NaN,,,,,,NaN
246,,0,NaN,NaN,68,-11,NaN,-11,99,-12,68,-11,NaN
