time,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/ART_SBP
289,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-23,-11
290,NaN,,NaN,,,,NaN,,,,NaN,,
291,NaN,-11,NaN,100,,,NaN,70,71,-11,NaN,-23,-11
292,NaN,,NaN,,,,NaN,,,,NaN,,
293,NaN,-11,NaN,100,,,NaN,70,71,-11,NaN,-23,-11
294,NaN,,NaN,,,,NaN,,,,NaN,,
295,NaN,-11,NaN,100,,,NaN,71,71,-11,NaN,-23,-11
296,NaN,,NaN,,,,NaN,,,,NaN,,
297,NaN,-11,NaN,100,,,NaN,70,71,-11,NaN,-23,-11
298,NaN,,NaN,,,,NaN,,,,NaN,,
299,NaN,-11,NaN,100,,,NaN,70,71,-11,NaN,-23,-11
300,NaN,,NaN,,,,NaN,,,,NaN,,
301,NaN,-11,NaN,100,,,NaN,70,70,-11,NaN,-23,-11
302,NaN,,NaN,,,,NaN,,,,NaN,,
303,NaN,-11,NaN,100,,,NaN,70,70,-11,NaN,-23,-11
304,NaN,,NaN,,,,NaN,,,,NaN,,
305,NaN,-11,NaN,100,,,NaN,70,70,-11,NaN,-23,-11
306,NaN,,NaN,,,,NaN,,,,NaN,,
307,NaN,-11,NaN,100,,,NaN,70,70,-11,NaN,-23,-11
308,NaN,,NaN,,,,NaN,,,,NaN,,
309,NaN,-11,NaN,100,,,NaN,69,70,-11,NaN,-23,-11
310,NaN,,NaN,,,,NaN,,,,NaN,,
311,NaN,-11,NaN,100,,,NaN,69,70,-11,NaN,-23,-11
312,NaN,,NaN,,,,NaN,,,,NaN,,
313,NaN,-11,NaN,100,,,NaN,69,70,-11,NaN,-23,-11
314,NaN,,NaN,,,,NaN,,,,NaN,,
315,NaN,-11,NaN,99,,,NaN,70,70,-11,NaN,-22,-11
316,NaN,,NaN,,,,NaN,,,,NaN,,
317,NaN,-11,NaN,99,,,NaN,71,71,-11,NaN,-22,-11
318,NaN,,NaN,,,,NaN,,,,NaN,,
319,NaN,-11,NaN,100,,,NaN,71,71,-11,NaN,-22,-11
320,NaN,,NaN,,,,NaN,,,,NaN,,
321,NaN,-11,NaN,100,,,NaN,71,72,-11,NaN,-22,-11
322,NaN,,NaN,,,,NaN,,,,NaN,,
323,NaN,-11,NaN,100,,,NaN,72,73,-11,NaN,-23,-11
324,NaN,,NaN,,,,NaN,,,,NaN,,
325,NaN,-11,NaN,100,,,NaN,73,73,-11,NaN,-23,-11
326,NaN,,NaN,,,,NaN,,,,NaN,,
327,NaN,-11,NaN,100,,,NaN,73,74,-11,NaN,-23,-11
328,NaN,,NaN,,,,NaN,,,,NaN,,
329,NaN,-11,NaN,100,,,NaN,75,75,-11,NaN,-23,-11
330,NaN,,NaN,,,,NaN,,,,NaN,,
331,NaN,-11,NaN,100,,,NaN,77,77,-11,NaN,-23,-11
332,NaN,,NaN,,,,NaN,,,,NaN,,
333,NaN,-11,NaN,100,,,NaN,79,79,-11,NaN,-23,-11
334,NaN,,NaN,,,,NaN,,,,NaN,,
335,NaN,-11,NaN,100,,,NaN,82,81,-11,NaN,-23,-11
336,NaN,,NaN,,,,NaN,,,,NaN,,
337,NaN,-11,NaN,100,,,NaN,84,84,-11,NaN,-22,-11
338,NaN,,NaN,,,,NaN,,,,NaN,,
339,NaN,-11,NaN,100,,,NaN,87,87,-11,NaN,-22,-11
340,NaN,,NaN,,,,NaN,,,,NaN,,
341,NaN,-11,NaN,100,,,NaN,89,89,-11,NaN,-22,-11
342,NaN,,NaN,,,,NaN,,,,NaN,,
343,NaN,-11,NaN,100,,,NaN,93,92,-11,NaN,-22,-11
344,NaN,,NaN,,,,NaN,,,,NaN,,
345,NaN,-11,NaN,100,,19,NaN,94,94,-11,NaN,-22,-11
346,NaN,,NaN,,,,NaN,,,,NaN,,
347,NaN,-11,NaN,100,,19,NaN,96,96,-11,NaN,-22,-11
348,NaN,,NaN,,,,NaN,,,,NaN,,
349,NaN,-11,NaN,100,,19,NaN,97,98,-11,NaN,-23,-11
350,NaN,,NaN,,,,NaN,,,,NaN,,
351,NaN,-11,NaN,100,,11,NaN,98,99,-11,NaN,-23,-11
352,NaN,,NaN,,,,NaN,,,,NaN,,
353,NaN,-11,NaN,100,,11,NaN,99,100,-11,NaN,-23,-11
354,NaN,,NaN,,,,NaN,,,,NaN,,
355,NaN,-11,NaN,100,,11,NaN,100,100,-11,NaN,-23,-11
356,NaN,,NaN,,,,NaN,,,,NaN,,
357,NaN,-11,NaN,100,,11,NaN,101,101,-11,NaN,-23,-11
358,NaN,,NaN,,,,NaN,,,,NaN,,
359,NaN,-11,NaN,100,3,28,NaN,101,101,-11,NaN,-23,-11
360,NaN,,NaN,,,,NaN,,,,NaN,,
361,NaN,-11,NaN,100,3,28,NaN,101,101,-11,NaN,-22,-11
362,NaN,,NaN,,,,NaN,,,,NaN,,
363,NaN,-11,NaN,100,3,28,NaN,100,101,-11,NaN,-22,-11
364,NaN,,NaN,,,,NaN,,,,NaN,,
365,NaN,-11,NaN,100,3,29,NaN,100,101,-11,NaN,-22,-11
366,NaN,,NaN,,,,NaN,,,,NaN,,
367,NaN,-11,NaN,100,3,29,NaN,100,100,-11,NaN,-22,-11
368,NaN,,NaN,,,,NaN,,,,NaN,,
369,NaN,-11,NaN,100,3,29,NaN,99,100,-11,NaN,-22,-11
370,NaN,,NaN,,,,NaN,,,,NaN,,
371,NaN,-10,NaN,100,2,31,NaN,100,100,-10,NaN,-22,-10
372,NaN,,NaN,,,,NaN,,,,NaN,,
373,NaN,-10,NaN,100,2,31,NaN,100,100,-10,NaN,-22,-10
374,NaN,,NaN,,,,NaN,,,,NaN,,
375,NaN,-11,NaN,100,2,31,NaN,100,101,-11,NaN,-23,-11
376,NaN,,NaN,,,,NaN,,,,NaN,,
377,NaN,-11,NaN,100,8,31,NaN,100,101,-11,NaN,-23,-11
378,NaN,,NaN,,,,NaN,,,,NaN,,
379,NaN,-11,NaN,99,8,31,NaN,100,102,-11,NaN,-23,-11
380,NaN,,NaN,,,,NaN,,,,NaN,,
381,NaN,-11,NaN,99,8,31,NaN,99,104,-11,NaN,-23,-11
382,NaN,,NaN,,,,NaN,,,,NaN,,
383,NaN,-11,NaN,99,10,22,NaN,99,106,-11,NaN,-23,-11
384,NaN,,NaN,,,,NaN,,,,NaN,,
385,NaN,-11,NaN,99,10,22,NaN,98,104,-11,NaN,-23,-11
386,NaN,,NaN,,,,NaN,,,,NaN,,
387,NaN,-11,NaN,99,10,22,NaN,97,101,-11,NaN,-22,-11
388,NaN,,NaN,,,,NaN,,,,NaN,,
389,NaN,-11,NaN,100,10,32,NaN,96,97,-11,NaN,-22,-11
390,NaN,,NaN,,,,NaN,,,,NaN,,
391,NaN,-11,NaN,100,10,32,NaN,95,97,-11,NaN,-22,-11
392,NaN,,NaN,,,,NaN,,,,NaN,,
393,NaN,-11,NaN,100,10,32,NaN,95,96,-11,NaN,-22,-11
394,NaN,,NaN,,,,NaN,,,,NaN,,
395,NaN,-69,NaN,100,10,31,NaN,94,96,-12,NaN,-22,57
396,NaN,,NaN,,,,NaN,,,,NaN,,
397,NaN,-39,NaN,100,10,31,NaN,93,94,2,NaN,-23,54
398,NaN,,NaN,,,,NaN,,,,NaN,,
399,NaN,-32,NaN,99,10,31,NaN,92,93,3,NaN,-23,37
400,NaN,,NaN,,,,NaN,,,,NaN,,
401,NaN,-22,NaN,99,10,31,NaN,91,92,6,NaN,-23,38
402,NaN,,NaN,,,,NaN,,,,NaN,,
403,NaN,-19,NaN,99,11,32,NaN,91,92,4,NaN,-23,16
