time,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/RR_CO2,SNUADC/ART,SNUADC/CVP
286,-2,100,61,-2,NaN,58,-2,191,NaN,0,,NaN,NaN
287,,,,,NaN,,,,NaN,,,NaN,NaN
288,-1,100,61,-1,NaN,58,-1,191,NaN,0,,NaN,NaN
289,,,,,NaN,,,,NaN,,,NaN,NaN
290,-1,100,61,-1,NaN,58,-1,191,NaN,0,,NaN,NaN
291,,,,,NaN,,,,NaN,,,NaN,NaN
292,-2,100,61,-2,NaN,59,-2,191,NaN,0,,NaN,NaN
293,,,,,NaN,,,,NaN,,,NaN,NaN
294,-2,100,61,-2,NaN,58,-2,192,NaN,0,,NaN,NaN
295,,,,,NaN,,,,NaN,,,NaN,NaN
296,-2,100,61,-2,NaN,58,-2,192,NaN,0,,NaN,NaN
297,,,,,NaN,,,,NaN,,,NaN,NaN
298,-2,100,60,-2,NaN,58,-2,192,NaN,0,,NaN,NaN
299,,,,,NaN,,,,NaN,,,NaN,NaN
300,-2,100,60,-2,NaN,58,-2,192,NaN,0,,NaN,NaN
301,,,,,NaN,,,,NaN,,,NaN,NaN
302,-2,100,60,-2,NaN,58,-2,193,NaN,0,,NaN,NaN
303,,,,,NaN,,,,NaN,,,NaN,NaN
304,-2,100,61,-2,NaN,58,-2,193,NaN,0,,NaN,NaN
305,,,,,NaN,,,,NaN,,,NaN,NaN
306,-2,100,61,-2,NaN,59,-2,193,NaN,0,,NaN,NaN
307,,,,,NaN,,,,NaN,,,NaN,NaN
308,-3,100,62,-3,NaN,59,-3,193,NaN,0,,NaN,NaN
309,,,,,NaN,,,,NaN,,,NaN,NaN
310,-3,100,62,-3,NaN,60,-3,193,NaN,0,,NaN,NaN
311,,,,,NaN,,,,NaN,,,NaN,NaN
312,-2,100,62,-2,NaN,59,-2,193,NaN,0,,NaN,NaN
313,,,,,NaN,,,,NaN,,,NaN,NaN
314,-2,100,62,-2,NaN,59,-2,193,NaN,0,,NaN,NaN
315,,,,,NaN,,,,NaN,,,NaN,NaN
316,-1,100,61,-1,NaN,59,-1,193,NaN,0,,NaN,NaN
317,,,,,NaN,,,,NaN,,,NaN,NaN
318,-1,100,61,-1,NaN,59,-1,193,NaN,0,,NaN,NaN
319,,,,,NaN,,,,NaN,,,NaN,NaN
320,-2,100,61,-2,NaN,59,-2,193,NaN,0,,NaN,NaN
321,,,,,NaN,,,,NaN,,,NaN,NaN
322,-2,100,61,-2,NaN,59,-2,193,NaN,0,,NaN,NaN
323,,,,,NaN,,,,NaN,,,NaN,NaN
324,-2,100,61,-2,NaN,59,-2,193,NaN,0,,NaN,NaN
325,,,,,NaN,,,,NaN,,,NaN,NaN
326,-2,100,61,-2,NaN,59,-2,193,NaN,0,,NaN,NaN
327,,,,,NaN,,,,NaN,,,NaN,NaN
328,-2,100,61,-2,NaN,59,-2,194,NaN,0,,NaN,NaN
329,,,,,NaN,,,,NaN,,,NaN,NaN
330,-2,100,61,-2,NaN,59,-2,194,NaN,0,,NaN,NaN
331,,,,,NaN,,,,NaN,,,NaN,NaN
332,-2,100,61,-2,NaN,58,-2,194,NaN,0,,NaN,NaN
333,,,,,NaN,,,,NaN,,,NaN,NaN
334,-2,100,61,-2,NaN,58,-2,194,NaN,0,,NaN,NaN
335,,,,,NaN,,,,NaN,,,NaN,NaN
336,-3,100,61,-3,NaN,58,-3,194,NaN,0,,NaN,NaN
337,,,,,NaN,,,,NaN,,,NaN,NaN
338,-3,100,61,-3,NaN,58,-3,194,NaN,0,,NaN,NaN
339,,,,,NaN,,,,NaN,,,NaN,NaN
340,-2,100,60,-2,NaN,58,-2,194,NaN,0,,NaN,NaN
341,,,,,NaN,,,,NaN,,,NaN,NaN
342,-2,100,60,-2,NaN,57,-2,194,NaN,0,,NaN,NaN
343,,,,,NaN,,,,NaN,,,NaN,NaN
344,-2,100,59,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
345,,,,,NaN,,,,NaN,,,NaN,NaN
346,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
347,,,,,NaN,,,,NaN,,,NaN,NaN
348,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
349,,,,,NaN,,,,NaN,,,NaN,NaN
350,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
351,,,,,NaN,,,,NaN,,,NaN,NaN
352,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
353,,,,,NaN,,,,NaN,,,NaN,NaN
354,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
355,,,,,NaN,,,,NaN,,,NaN,NaN
356,-3,100,58,-3,NaN,56,-3,194,NaN,0,,NaN,NaN
357,,,,,NaN,,,,NaN,,,NaN,NaN
358,-3,100,58,-3,NaN,55,-3,194,NaN,0,,NaN,NaN
359,,,,,NaN,,,,NaN,,,NaN,NaN
360,-3,100,58,-3,NaN,55,-3,194,NaN,0,,NaN,NaN
361,,,,,NaN,,,,NaN,,,NaN,NaN
362,-3,100,58,-3,NaN,56,-3,194,NaN,0,,NaN,NaN
363,,,,,NaN,,,,NaN,,,NaN,NaN
364,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
365,,,,,NaN,,,,NaN,,,NaN,NaN
366,-2,100,58,-2,NaN,55,-2,194,NaN,0,,NaN,NaN
367,,,,,NaN,,,,NaN,,,NaN,NaN
368,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
369,,,,,NaN,,,,NaN,,,NaN,NaN
370,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
371,,,,,NaN,,,,NaN,,,NaN,NaN
372,-1,100,58,-1,NaN,56,-1,194,NaN,0,,NaN,NaN
373,,,,,NaN,,,,NaN,,,NaN,NaN
374,-1,100,58,-1,NaN,56,-1,194,NaN,0,,NaN,NaN
375,,,,,NaN,,,,NaN,,,NaN,NaN
376,-2,100,59,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
377,,,,,NaN,,,,NaN,,,NaN,NaN
378,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
379,,,,,NaN,,,,NaN,,,NaN,NaN
380,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
381,,,,,NaN,,,,NaN,,,NaN,NaN
382,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
383,,,,,NaN,,,,NaN,,,NaN,NaN
384,-3,100,58,-3,NaN,55,-3,194,NaN,0,,NaN,NaN
385,,,,,NaN,,,,NaN,,,NaN,NaN
386,-3,100,57,-3,NaN,55,-3,195,NaN,0,,NaN,NaN
387,,,,,NaN,,,,NaN,,,NaN,NaN
388,-2,100,58,-2,NaN,55,-2,195,NaN,0,,NaN,NaN
389,,,,,NaN,,,,NaN,,,NaN,NaN
390,-2,100,58,-2,NaN,55,-2,195,NaN,0,,NaN,NaN
391,,,,,NaN,,,,NaN,,,NaN,NaN
392,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
393,,,,,NaN,,,,NaN,,,NaN,NaN
394,-2,100,58,-2,NaN,56,-2,194,NaN,0,,NaN,NaN
395,,,,,NaN,,,,NaN,,,NaN,NaN
