time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART
275,,,,,,,,NaN,,NaN,NaN,,NaN
276,78,,77,1,,6,1,NaN,100,NaN,NaN,1,NaN
277,,,,,,,,NaN,,NaN,NaN,,NaN
278,77,,76,1,,5,1,NaN,100,NaN,NaN,1,NaN
279,,,,,,,,NaN,,NaN,NaN,,NaN
280,76,,75,1,,5,1,NaN,100,NaN,NaN,1,NaN
281,,,,,,,,NaN,,NaN,NaN,,NaN
282,74,,74,1,,6,1,NaN,100,NaN,NaN,1,NaN
283,,,,,,,,NaN,,NaN,NaN,,NaN
284,72,,71,1,,6,1,NaN,100,NaN,NaN,1,NaN
285,,,,,,,,NaN,,NaN,NaN,,NaN
286,71,,70,1,,6,1,NaN,100,NaN,NaN,1,NaN
287,,,,,,,,NaN,,NaN,NaN,,NaN
288,71,,71,1,,6,1,NaN,100,NaN,NaN,1,NaN
289,,,,,,,,NaN,,NaN,NaN,,NaN
290,71,,71,1,,6,1,NaN,100,NaN,NaN,1,NaN
291,,,,,,,,NaN,,NaN,NaN,,NaN
292,72,,72,1,,6,1,NaN,100,NaN,NaN,1,NaN
293,,,,,,,,NaN,,NaN,NaN,,NaN
294,72,,71,1,,7,1,NaN,100,NaN,NaN,1,NaN
295,,,,,,,,NaN,,NaN,NaN,,NaN
296,71,,70,1,,7,1,NaN,100,NaN,NaN,1,NaN
297,,,,,,,,NaN,,NaN,NaN,,NaN
298,70,,69,1,,7,1,NaN,100,NaN,NaN,1,NaN
299,,,,,,,,NaN,,NaN,NaN,,NaN
300,69,,68,1,,7,1,NaN,100,NaN,NaN,1,NaN
301,,,,,,,,NaN,,NaN,NaN,,NaN
302,69,,68,1,,7,1,NaN,100,NaN,NaN,1,NaN
303,,,,,,,,NaN,,NaN,NaN,,NaN
304,68,,68,1,,7,1,NaN,100,NaN,NaN,1,NaN
305,,,,,,,,NaN,,NaN,NaN,,NaN
306,68,,68,1,,7,1,NaN,100,NaN,NaN,1,NaN
307,,,,,,,,NaN,,NaN,NaN,,NaN
308,68,,67,1,,7,1,NaN,100,NaN,NaN,1,NaN
309,,,,,,,,NaN,,NaN,NaN,,NaN
310,67,,67,1,,7,1,NaN,100,NaN,NaN,1,NaN
311,,,,,,,,NaN,,NaN,NaN,,NaN
312,67,,66,1,,7,1,NaN,100,NaN,NaN,1,NaN
313,,,,,,,,NaN,,NaN,NaN,,NaN
314,66,,65,1,,7,1,NaN,100,NaN,NaN,1,NaN
315,,,,,,,,NaN,,NaN,NaN,,NaN
316,66,,65,1,,7,1,NaN,100,NaN,NaN,1,NaN
317,,,,,,,,NaN,,NaN,NaN,,NaN
318,65,,64,1,,7,1,NaN,100,NaN,NaN,1,NaN
319,,,,,,,,NaN,,NaN,NaN,,NaN
320,64,,64,1,,7,1,NaN,100,NaN,NaN,1,NaN
321,,,,,,,,NaN,,NaN,NaN,,NaN
322,64,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
323,,,,,,,,NaN,,NaN,NaN,,NaN
324,64,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
325,,,,,,,,NaN,,NaN,NaN,,NaN
326,63,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
327,,,,,,,,NaN,,NaN,NaN,,NaN
328,64,,63,1,,7,1,NaN,100,NaN,NaN,1,NaN
