time,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/RR_CO2,SNUADC/ECG_V5
297,NaN,64,99,-18,65,NaN,3,,-11,NaN,-3,,NaN
298,NaN,,,,,NaN,,,,NaN,,,NaN
299,NaN,63,99,-18,64,NaN,-3,,-3,NaN,-3,,NaN
300,NaN,,,,,NaN,,,,NaN,,,NaN
301,NaN,62,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
302,NaN,,,,,NaN,,,,NaN,,,NaN
303,NaN,62,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
304,NaN,,,,,NaN,,,,NaN,,,NaN
305,NaN,61,99,-18,62,NaN,-3,,-3,NaN,-3,,NaN
306,NaN,,,,,NaN,,,,NaN,,,NaN
307,NaN,62,99,-18,62,NaN,-3,,-3,NaN,-3,,NaN
308,NaN,,,,,NaN,,,,NaN,,,NaN
309,NaN,62,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
310,NaN,,,,,NaN,,,,NaN,,,NaN
311,NaN,61,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
312,NaN,,,,,NaN,,,,NaN,,,NaN
313,NaN,61,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
314,NaN,,,,,NaN,,,,NaN,,,NaN
315,NaN,61,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
316,NaN,,,,,NaN,,,,NaN,,,NaN
317,NaN,61,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
318,NaN,,,,,NaN,,,,NaN,,,NaN
319,NaN,61,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
320,NaN,,,,,NaN,,,,NaN,,,NaN
321,NaN,62,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
322,NaN,,,,,NaN,,,,NaN,,,NaN
323,NaN,61,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
324,NaN,,,,,NaN,,,,NaN,,,NaN
325,NaN,61,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
326,NaN,,,,,NaN,,,,NaN,,,NaN
327,NaN,60,100,-19,61,NaN,-3,,-3,NaN,-3,,NaN
328,NaN,,,,,NaN,,,,NaN,,,NaN
329,NaN,59,100,-19,61,NaN,-3,,-3,NaN,-3,,NaN
330,NaN,,,,,NaN,,,,NaN,,,NaN
331,NaN,58,100,-18,60,NaN,-3,,-3,NaN,-3,,NaN
332,NaN,,,,,NaN,,,,NaN,,,NaN
333,NaN,58,100,-18,59,NaN,-2,,-5,NaN,-3,,NaN
334,NaN,,,,,NaN,,,,NaN,,,NaN
335,NaN,58,100,-18,59,NaN,-2,,-5,NaN,-3,,NaN
336,NaN,,,,,NaN,,,,NaN,,,NaN
337,NaN,58,99,-18,59,NaN,-2,,-2,NaN,-2,,NaN
338,NaN,,,,,NaN,,,,NaN,,,NaN
339,NaN,58,98,-19,60,NaN,-2,,-2,NaN,-2,,NaN
340,NaN,,,,,NaN,,,,NaN,,,NaN
341,NaN,58,99,-19,60,NaN,-3,,-3,NaN,-3,,NaN
342,NaN,,,,,NaN,,,,NaN,,,NaN
343,NaN,59,99,-19,60,NaN,-3,,-3,NaN,-3,,NaN
344,NaN,,,,,NaN,,,,NaN,,,NaN
345,NaN,60,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
346,NaN,,,,,NaN,,,,NaN,,,NaN
347,NaN,62,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
348,NaN,,,,,NaN,,,,NaN,,,NaN
349,NaN,65,98,-19,62,NaN,-3,,-3,NaN,-3,,NaN
350,NaN,,,,,NaN,,,,NaN,,,NaN
351,NaN,66,99,-19,63,NaN,-3,,-3,NaN,-3,,NaN
352,NaN,,,,,NaN,,,,NaN,,,NaN
353,NaN,66,99,-19,64,NaN,-3,,-3,NaN,-3,,NaN
354,NaN,,,,,NaN,,,,NaN,,,NaN
355,NaN,66,99,-19,65,NaN,-3,,-3,NaN,-3,,NaN
356,NaN,,,,,NaN,,,,NaN,,,NaN
357,NaN,64,100,-19,65,NaN,-3,,-3,NaN,-3,,NaN
358,NaN,,,,,NaN,,,,NaN,,,NaN
359,NaN,64,100,-19,64,NaN,-3,,-3,NaN,-3,,NaN
360,NaN,,,,,NaN,,,,NaN,,,NaN
361,NaN,63,99,-19,64,NaN,-3,,-3,NaN,-3,,NaN
362,NaN,,,,,NaN,,,,NaN,,,NaN
363,NaN,62,99,-19,63,NaN,-3,,-3,NaN,-3,,NaN
364,NaN,,,,,NaN,,,,NaN,,,NaN
365,NaN,61,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
366,NaN,,,,,NaN,,,,NaN,,,NaN
367,NaN,62,99,-19,63,NaN,-3,,-3,NaN,-3,,NaN
368,NaN,,,,,NaN,,,,NaN,,,NaN
369,NaN,64,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
370,NaN,,,,,NaN,,,,NaN,,,NaN
371,NaN,64,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
372,NaN,,,,,NaN,,,,NaN,,,NaN
373,NaN,63,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
374,NaN,,,,,NaN,,,,NaN,,,NaN
375,NaN,62,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
376,NaN,,,,,NaN,,,,NaN,,,NaN
377,NaN,61,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
378,NaN,,,,,NaN,,,,NaN,,,NaN
379,NaN,63,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
380,NaN,,,,,NaN,,,,NaN,,,NaN
381,NaN,64,99,-19,64,NaN,-3,,-3,NaN,-3,,NaN
382,NaN,,,,,NaN,,,,NaN,,,NaN
383,NaN,65,99,-19,65,NaN,-3,,-3,NaN,-3,,NaN
384,NaN,,,,,NaN,,,,NaN,,,NaN
385,NaN,65,99,-19,65,NaN,-3,,-3,NaN,-3,,NaN
386,NaN,,,,,NaN,,,,NaN,,,NaN
387,NaN,65,99,-19,65,NaN,-3,,-3,NaN,-3,,NaN
388,NaN,,,,,NaN,,,,NaN,,,NaN
389,NaN,64,99,-19,65,NaN,-3,,-3,NaN,-3,,NaN
390,NaN,,,,,NaN,,,,NaN,,,NaN
391,NaN,63,99,-19,64,NaN,-3,,-3,NaN,-3,,NaN
392,NaN,,,,,NaN,,,,NaN,,,NaN
393,NaN,62,99,-19,63,NaN,-3,,-3,NaN,-3,,NaN
394,NaN,,,,,NaN,,,,NaN,,,NaN
395,NaN,61,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
396,NaN,,,,,NaN,,,,NaN,,,NaN
397,NaN,60,99,-19,61,NaN,-3,,-3,NaN,-3,,NaN
398,NaN,,,,,NaN,,,,NaN,,,NaN
399,NaN,60,99,-19,61,NaN,-2,,-2,NaN,-2,,NaN
400,NaN,,,,,NaN,,,,NaN,,,NaN
401,NaN,59,99,-19,60,NaN,-2,,-2,NaN,-2,,NaN
402,NaN,,,,,NaN,,,,NaN,,,NaN
403,NaN,59,99,-19,60,NaN,-2,,-2,NaN,-2,,NaN
404,NaN,,,,,NaN,,,,NaN,,,NaN
405,NaN,60,99,-19,60,NaN,-2,,-2,NaN,-2,,NaN
406,NaN,,,,,NaN,,,,NaN,,,NaN
407,NaN,59,99,-18,60,NaN,-2,,-2,NaN,-2,,NaN
408,NaN,,,,,NaN,,,,NaN,,,NaN
409,NaN,59,99,-18,60,NaN,-3,,-3,NaN,-3,,NaN
410,NaN,,,,,NaN,,,,NaN,,,NaN
411,NaN,59,99,-18,60,NaN,-3,,-3,NaN,-3,,NaN
412,NaN,,,,,NaN,,,,NaN,,,NaN
413,NaN,59,99,-18,60,NaN,-3,,-3,NaN,-3,,NaN
414,NaN,,,,,NaN,,,,NaN,,,NaN
