time,SNUADC/CVP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/CVP,SNUADC/ECG_II
374,NaN,,NaN,166,50,100,NaN,-6,,51,,-38,NaN
375,NaN,,NaN,,,,NaN,,,,,,NaN
376,NaN,,NaN,150,50,100,NaN,6,,51,,-38,NaN
377,NaN,,NaN,,,,NaN,,,,,,NaN
378,NaN,,NaN,175,50,100,NaN,10,,50,,-38,NaN
379,NaN,,NaN,,,,NaN,,,,,,NaN
380,NaN,,NaN,175,50,100,NaN,10,,50,,-38,NaN
381,NaN,,NaN,,,,NaN,,,,,,NaN
382,NaN,,NaN,-11,50,100,NaN,-11,,50,-11,-37,NaN
383,NaN,,NaN,,,,NaN,,,,,,NaN
384,NaN,,NaN,-11,50,100,NaN,-11,,50,-11,-37,NaN
385,NaN,,NaN,,,,NaN,,,,,,NaN
386,NaN,,NaN,-12,50,100,NaN,-12,,50,-12,-37,NaN
387,NaN,,NaN,,,,NaN,,,,,,NaN
388,NaN,,NaN,-12,50,100,NaN,-12,,50,-12,-37,NaN
389,NaN,,NaN,,,,NaN,,,,,,NaN
390,NaN,,NaN,-10,50,100,NaN,-11,,50,-13,-38,NaN
391,NaN,,NaN,,,,NaN,,,,,,NaN
392,NaN,,NaN,-9,50,100,NaN,-11,,50,-14,-38,NaN
393,NaN,,NaN,,,,NaN,,,,,,NaN
394,NaN,,NaN,-9,50,100,NaN,-11,,50,-14,-38,NaN
395,NaN,,NaN,,,,NaN,,,,,,NaN
396,NaN,,NaN,-10,50,100,NaN,-12,,50,-14,-38,NaN
397,NaN,,NaN,,,,NaN,,,,,,NaN
398,NaN,,NaN,,50,100,NaN,-12,,50,,-38,NaN
399,NaN,,NaN,,,,NaN,,,,,,NaN
400,NaN,,NaN,,50,100,NaN,11,,50,,-38,NaN
401,NaN,,NaN,,,,NaN,,,,,,NaN
402,NaN,,NaN,,50,100,NaN,8,,50,,-38,NaN
403,NaN,,NaN,,,,NaN,,,,,,NaN
404,NaN,,NaN,,50,100,NaN,5,,50,,-38,NaN
405,NaN,,NaN,,,,NaN,,,,,,NaN
