time,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/CVP
216,NaN,,,,,,NaN,,NaN,,,NaN,
217,NaN,-3,0,84,99,83,NaN,-3,NaN,,-3,NaN,-49
218,NaN,,,,,,NaN,,NaN,,,NaN,
219,NaN,-3,0,83,99,83,NaN,-3,NaN,,-3,NaN,-49
220,NaN,,,,,,NaN,,NaN,,,NaN,
221,NaN,-3,0,83,99,83,NaN,-3,NaN,,-3,NaN,-49
222,NaN,,,,,,NaN,,NaN,,,NaN,
223,NaN,-3,0,83,99,83,NaN,-3,NaN,,-3,NaN,-49
224,NaN,,,,,,NaN,,NaN,,,NaN,
225,NaN,-3,0,84,99,83,NaN,-2,NaN,,-5,NaN,-49
226,NaN,,,,,,NaN,,NaN,,,NaN,
227,NaN,-3,0,84,98,83,NaN,-2,NaN,,-5,NaN,-49
228,NaN,,,,,,NaN,,NaN,,,NaN,
229,NaN,-3,0,84,98,83,NaN,2,NaN,,-9,NaN,-49
230,NaN,,,,,,NaN,,NaN,,,NaN,
231,NaN,-3,0,84,98,83,NaN,2,NaN,,-9,NaN,-49
232,NaN,,,,,,NaN,,NaN,,,NaN,
233,NaN,-3,0,84,98,83,NaN,-3,NaN,,-3,NaN,-49
234,NaN,,,,,,NaN,,NaN,,,NaN,
235,NaN,-3,0,83,99,83,NaN,-3,NaN,,-3,NaN,-49
236,NaN,,,,,,NaN,,NaN,,,NaN,
237,NaN,-3,0,84,99,83,NaN,-3,NaN,,-3,NaN,-49
238,NaN,,,,,,NaN,,NaN,,,NaN,
239,NaN,-3,0,84,99,84,NaN,-3,NaN,,-3,NaN,-49
240,NaN,,,,,,NaN,,NaN,,,NaN,
241,NaN,-3,0,84,99,84,NaN,-3,NaN,,-3,NaN,-49
242,NaN,,,,,,NaN,,NaN,,,NaN,
243,NaN,-3,0,85,99,84,NaN,-3,NaN,,-3,NaN,-49
244,NaN,,,,,,NaN,,NaN,,,NaN,
245,NaN,-3,37,84,99,83,NaN,-3,NaN,,-3,NaN,-50
246,NaN,,,,,,NaN,,NaN,,,NaN,
247,NaN,-3,37,83,99,82,NaN,-3,NaN,,-3,NaN,-50
248,NaN,,,,,,NaN,,NaN,,,NaN,
249,NaN,-3,37,82,99,81,NaN,-3,NaN,,-3,NaN,-50
250,NaN,,,,,,NaN,,NaN,,,NaN,
251,NaN,-3,37,81,99,80,NaN,-3,NaN,,-3,NaN,-50
252,NaN,,,,,,NaN,,NaN,,,NaN,
253,NaN,-3,,80,100,80,NaN,-3,NaN,,-3,NaN,-50
254,NaN,,,,,,NaN,,NaN,,,NaN,
255,NaN,-3,,81,100,80,NaN,-3,NaN,,-3,NaN,-50
256,NaN,,,,,,NaN,,NaN,,,NaN,
257,NaN,-3,,81,100,81,NaN,-3,NaN,,-3,NaN,-50
258,NaN,,,,,,NaN,,NaN,,,NaN,
259,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-50
260,NaN,,,,,,NaN,,NaN,,,NaN,
261,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-50
262,NaN,,,,,,NaN,,NaN,,,NaN,
263,NaN,-3,,83,100,83,NaN,-3,NaN,,-3,NaN,-50
264,NaN,,,,,,NaN,,NaN,,,NaN,
265,NaN,-2,,84,100,84,NaN,-2,NaN,,-2,NaN,-50
266,NaN,,,,,,NaN,,NaN,,,NaN,
267,NaN,-2,,85,100,84,NaN,-2,NaN,,-2,NaN,-50
268,NaN,,,,,,NaN,,NaN,,,NaN,
269,NaN,-2,,85,100,84,NaN,-2,NaN,,-2,NaN,-50
270,NaN,,,,,,NaN,,NaN,,,NaN,
271,NaN,-2,,85,100,84,NaN,-2,NaN,,-2,NaN,-50
272,NaN,,,,,,NaN,,NaN,,,NaN,
273,NaN,-2,,84,100,83,NaN,-2,NaN,,-2,NaN,-50
274,NaN,,,,,,NaN,,NaN,,,NaN,
275,NaN,-2,,83,100,82,NaN,-2,NaN,,-2,NaN,-50
276,NaN,,,,,,NaN,,NaN,,,NaN,
277,NaN,-2,,83,100,83,NaN,-2,NaN,,-2,NaN,-50
278,NaN,,,,,,NaN,,NaN,,,NaN,
279,NaN,-2,,83,100,83,NaN,-2,NaN,,-2,NaN,-49
280,NaN,,,,,,NaN,,NaN,,,NaN,
281,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-49
282,NaN,,,,,,NaN,,NaN,,,NaN,
283,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-49
284,NaN,,,,,,NaN,,NaN,,,NaN,
285,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-49
286,NaN,,,,,,NaN,,NaN,,,NaN,
287,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-49
288,NaN,,,,,,NaN,,NaN,,,NaN,
289,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-50
290,NaN,,,,,,NaN,,NaN,,,NaN,
291,NaN,-3,,82,100,81,NaN,-3,NaN,,-3,NaN,-50
292,NaN,,,,,,NaN,,NaN,,,NaN,
293,NaN,-3,,81,100,81,NaN,-3,NaN,,-3,NaN,-50
294,NaN,,,,,,NaN,,NaN,,,NaN,
295,NaN,-3,,81,100,80,NaN,-3,NaN,,-3,NaN,-50
296,NaN,,,,,,NaN,,NaN,,,NaN,
297,NaN,-3,,81,100,80,NaN,-3,NaN,,-3,NaN,-50
298,NaN,,,,,,NaN,,NaN,,,NaN,
299,NaN,-3,,81,100,80,NaN,-3,NaN,,-3,NaN,-50
300,NaN,,,,,,NaN,,NaN,,,NaN,
301,NaN,-3,,82,100,82,NaN,-3,NaN,,-3,NaN,-50
302,NaN,,,,,,NaN,,NaN,,,NaN,
303,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-50
304,NaN,,,,,,NaN,,NaN,,,NaN,
305,NaN,-3,,83,100,82,NaN,-3,NaN,,-3,NaN,-50
306,NaN,,,,,,NaN,,NaN,,,NaN,
307,NaN,-3,28,83,100,83,NaN,-3,NaN,8,-3,NaN,-50
