time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/ETCO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_SPO2
370,92,,-6,-7,NaN,-7,NaN,-7,NaN,,104,NaN,100
371,,,,,NaN,,NaN,,NaN,,,NaN,
372,92,,-6,0,NaN,0,NaN,0,NaN,,96,NaN,100
373,,,,,NaN,,NaN,,NaN,,,NaN,
374,96,,-6,0,NaN,0,NaN,0,NaN,,89,NaN,100
375,,,,,NaN,,NaN,,NaN,,,NaN,
376,93,,-6,0,NaN,0,NaN,0,NaN,,96,NaN,100
377,,,,,NaN,,NaN,,NaN,,,NaN,
378,89,,-6,0,NaN,0,NaN,0,NaN,,94,NaN,100
379,,,,,NaN,,NaN,,NaN,,,NaN,
380,88,,-6,-7,NaN,-7,NaN,-7,NaN,,90,NaN,100
381,,,,,NaN,,NaN,,NaN,,,NaN,
382,82,,-5,-7,NaN,-7,NaN,-7,NaN,,88,NaN,100
383,,,,,NaN,,NaN,,NaN,,,NaN,
384,81,,-5,-8,NaN,-8,NaN,-8,NaN,,88,NaN,100
385,,,,,NaN,,NaN,,NaN,,,NaN,
386,79,,-6,-8,NaN,-8,NaN,-8,NaN,,96,NaN,100
387,,,,,NaN,,NaN,,NaN,,,NaN,
388,83,,-6,-7,NaN,-7,NaN,-7,NaN,,88,NaN,100
389,,,,,NaN,,NaN,,NaN,,,NaN,
390,85,,-6,-7,NaN,-7,NaN,-7,NaN,,93,NaN,100
391,,,,,NaN,,NaN,,NaN,,,NaN,
392,86,,-6,-7,NaN,-7,NaN,-7,NaN,,87,NaN,100
393,,,,,NaN,,NaN,,NaN,,,NaN,
394,84,,-5,-7,NaN,-7,NaN,-7,NaN,,89,NaN,100
395,,,,,NaN,,NaN,,NaN,,,NaN,
396,84,,-5,-5,NaN,-5,NaN,-5,NaN,,88,NaN,100
397,,,,,NaN,,NaN,,NaN,,,NaN,
398,84,,-6,-5,NaN,-5,NaN,-5,NaN,,90,NaN,100
399,,,,,NaN,,NaN,,NaN,,,NaN,
