time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP
365,,,NaN,NaN,,,,,NaN,,,,NaN
366,-8,,NaN,NaN,-8,,47,46,NaN,-8,100,-6,NaN
367,,,NaN,NaN,,,,,NaN,,,,NaN
368,-8,,NaN,NaN,-8,,47,47,NaN,-8,100,-6,NaN
369,,,NaN,NaN,,,,,NaN,,,,NaN
370,-8,,NaN,NaN,-8,,48,48,NaN,-8,100,-6,NaN
371,,,NaN,NaN,,,,,NaN,,,,NaN
372,-8,,NaN,NaN,-8,,48,48,NaN,-8,100,-6,NaN
373,,,NaN,NaN,,,,,NaN,,,,NaN
374,-8,,NaN,NaN,-8,,49,49,NaN,-8,100,-6,NaN
375,,,NaN,NaN,,,,,NaN,,,,NaN
376,-8,,NaN,NaN,-8,,49,49,NaN,-8,100,-6,NaN
377,,,NaN,NaN,,,,,NaN,,,,NaN
378,-8,,NaN,NaN,-8,,49,49,NaN,-8,100,-6,NaN
379,,,NaN,NaN,,,,,NaN,,,,NaN
380,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-6,NaN
381,,,NaN,NaN,,,,,NaN,,,,NaN
382,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
383,,,NaN,NaN,,,,,NaN,,,,NaN
384,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
385,,,NaN,NaN,,,,,NaN,,,,NaN
386,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
387,,,NaN,NaN,,,,,NaN,,,,NaN
388,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
389,,,NaN,NaN,,,,,NaN,,,,NaN
390,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-6,NaN
391,,,NaN,NaN,,,,,NaN,,,,NaN
392,-7,,NaN,NaN,-7,,49,48,NaN,-7,100,-7,NaN
393,,,NaN,NaN,,,,,NaN,,,,NaN
394,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-7,NaN
395,,,NaN,NaN,,,,,NaN,,,,NaN
396,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-7,NaN
397,,,NaN,NaN,,,,,NaN,,,,NaN
398,-8,,NaN,NaN,-8,,49,48,NaN,-8,100,-7,NaN
